Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_20_07_06_83	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_06_947	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_049	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_157	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_271	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_376	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_491	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_597	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_706	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_814	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_07_924	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_036	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_146	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_256	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_363	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_477	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_586	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
2019_03_21_20_07_08_688	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	waiting...
