Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_21_07_52_476	virtual	virtual	0.0549	0.0019	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_52_586	virtual	virtual	0.0500	-0.0040	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_52_691	virtual	virtual	0.0476	-0.0069	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_52_799	virtual	virtual	0.0574	0.0048	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_52_909	virtual	virtual	0.0549	0.0019	2	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_018	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_125	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_236	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_346	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_458	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_564	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_674	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_788	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_53_896	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_006	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_116	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_229	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_33	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_443	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_55	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_658	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_772	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_884	virtual	virtual	0.0659	0.0151	1	1.0	0.50	1	1.0	0.50	0.000
2019_03_21_21_07_54_992	virtual	virtual	0.0452	-0.0098	1	1.0	0.50	1	1.0	0.50	0.000
