Real-Time Sampling Data	V1	T(Celsius)	V2	P(MPa)	Do_1	Cycle(s)	Ratio	Do_2	Cycle(s)	Ratio	Flow(L/min)
2019_03_21_20_06_23_86	virtual	virtual	0.0549	0.0019	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_23_976	virtual	virtual	0.0476	-0.0069	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_079	virtual	virtual	0.0574	0.0048	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_191	virtual	virtual	0.0476	-0.0069	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_3	virtual	virtual	0.0476	-0.0069	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_408	virtual	virtual	0.0500	-0.0040	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_518	virtual	virtual	0.0574	0.0048	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_629	virtual	virtual	0.0500	-0.0040	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_738	virtual	virtual	0.0476	-0.0069	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_845	virtual	virtual	0.0500	-0.0040	2	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_24_961	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_062	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_177	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_282	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_393	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_507	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_614	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_72	virtual	virtual	0.0610	0.0092	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_83	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_25_943	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_055	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_161	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_27	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_378	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_492	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_597	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_704	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_817	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_26_926	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_034	virtual	virtual	0.0549	0.0019	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_148	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_258	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_366	virtual	virtual	0.0500	-0.0040	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_48	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_579	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_693	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_806	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_27_908	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_28_02	virtual	virtual	0.0476	-0.0069	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_28_132	virtual	virtual	0.0574	0.0048	1	1.0	0.50	1	1.0	0.50	virtual flow
2019_03_21_20_06_28_241	virtual	virtual	0.0525	-0.0010	1	1.0	0.50	1	1.0	0.50	virtual flow
